id,name,price,short_description,image,category-id,is_sale,sale_price
116819040,"Thước Dây 1,5m - YOGA QG, Thước Dây May Má, Đo Chiều Cao Cho Bé, Đo Kích Thước Ba Vòng",5000,"THƯỚC DÂYThước Dây May Đồ là một loại dụng cụ để đo chiều dài, khoảng cách. Đây có thể xem là dụng cụ đo điển hình nhất trong các loại thiết bị đo lường. Với kiểu dáng nhỏ gọn, dễ dàng mang đi theo b...",https://salt.tikicdn.com/cache/280x280/ts/product/ee/44/1c/7dd729fcedd90f8f449550d3872eaff5.jpg,4,0,0
90531871,"Đèn Pixar, Đèn Bàn Học Chống Cận Thị, Đèn Đọc Sách, Đèn Làm Việc Bảo Vệ Mắt - Hàng Chính Hãng Moontronics",132050,"  Đèn bàn không chỉ là một dụng cụ cần thiết cho việc học tập, cũng như làm việc của bạn mà còn là một vật trang trí không thể thiếu cho căn phòng của bạn. Đèn bàn Moontronics là một sản phẩm cao ...",https://salt.tikicdn.com/cache/280x280/ts/product/f6/11/fb/308b897e52fb2260b93d4207cbd2c8ca.jpg,4,0,0
173211404,"Ghế Xoay Văn Phòng Ngồi Làm Việc Công Thái Học Deli - Tay Gập Thông Minh, Có Ngả Lưng, Lưới Thoáng Khí, Chân Xoay Tiện Ích, Đệm Ghế Êm Aí - Phù Hợp Học Sinh, Văn Phòng, Game Thủ, Gaming - Hàng Chính Hãng - E4928 / E4929 / E4925 / E4926G",1618200,1.Thông tin sản phẩm:- Trọng lượng: 7.6kg - 9.1kg- Chất liệu: Phiên bản mới Chân ghế khung thép chắc chắn; Khung ghế nhựa  ABS; Thân ghế vải lưới siêu thoáng khí; Đệm ghế mút bọt biển êm ái- Màu sắ...,https://salt.tikicdn.com/cache/280x280/ts/product/83/54/e6/ba6bff153d0da252edb030ac83968aa1.jpg,4,0,0
3480627,Bộ Cây Lau Nhà Xoay Tay Compact Spin Mop Lock&Lock ETM466: Thùng Giặt + Cây + Bông Lau,500000,"Đặc điểm nổi bậtBộ Cây Lau Nhà Xoay Tay Compact Spin Mop Lock&Lock ETM466: Thùng Giặt + Cây + Bông LauThùng chứa được làm bằng chất liệu nhựa PP cao cấp, chất lượng, có khả năng chịu được va đậ...",https://salt.tikicdn.com/cache/280x280/ts/product/45/23/7a/155a681f642637eae6b2e5cf917684d4.jpg,4,0,0
46202190,Combo nhiều túi lưới giặt đồ cho máy giặt bảo vệ quần áo chống biến dạng chất lượng tốt dây kéo lưới mịn Polyester,55000,"Túi lưới giặt đồ cho máy giặt bảo vệ quần áo chống biến dạng chất lượng tốt dây kéo lưới mịn Polyester nhằm bảo vệ quần áo được làm từ tơ lụa, ren, len, thổ cẩm, lông thú, gấm, cotton, … tránh bị móc ...",https://salt.tikicdn.com/cache/280x280/ts/product/5b/01/ce/22baf0809ad290bf78dec9867082ac44.JPG,4,0,0
120552065,Bình giữ nhiệt inox 304 Elmich EL-8013OL dung tích 480ml,157000,"Chất liệu inox 304 an toàn tuyệt đối cho sức khỏeBình giữ nhiệt inox 304 Elmich EL-8013OL được làm bằng chất liệu inox 304 có khả năng chống ăn mòn tuyệt vời, bình giữ nhiệt Elmich EL-8013OL an toàn ...",https://salt.tikicdn.com/cache/280x280/ts/product/9d/0a/b2/228d7a1fd9e9da36e3862d7838e588be.png,4,0,0
122700651,"Cây lau kính, gạt chùi kính đa năng 2 đầu trong 1 - Parroti Shiny SN01",139000,"Cây lau kính, gạt chùi kính đa năng 2 đầu trong 1 - Parroti Shiny SN01 được thiết kế tinh tế, cán làm bằng nhôm cao cấp, có thể điều chỉnh độ dài linh hoạt phù hợp độ cao của cửa sổ. Cộng ...",https://salt.tikicdn.com/cache/280x280/ts/product/34/f2/b9/a41c7bccaeb1ea73e7ca81ae39388d2c.jpg,4,0,0
146262084,Gối Ngủ Memory Foam NOOZ Ruột Gối Cao Su Non Giúp Nâng Đỡ Đốt Sống Cổ Chống Đau Vai Gáy Ngủ Sâu Hỗ Trợ Chống Trào Ngược Phù Hợp Với Mọi Tư Thế Nằm Vỏ Gối Tencel,309000,Ngủ ngon và sâu hơn với sự nâng đỡ và thoáng mát từ Gối Memory Foam NOOZViệc dành 8 tiếng để ngủ trên một chiếc gối quá dày hoặc quá mỏng sẽ làm bạn cảm thấy mệt mỏi va...,https://salt.tikicdn.com/cache/280x280/ts/product/ef/4f/0e/e81a5e0f5f23f449466addb240db8f88.jpg,4,0,0
262731552,"Giường xếp gấp gọn di động SUMIKA 386, khung thép, có bánh xe",1509000,"Với thiết kế giường đơn gấp gọn SUMIKA 386 phù hợp với những không gian nhỏ hẹp như căn hộ, chung cư, văn phòng,… chiếc giường kiểu dáng gấp gọn thông minh SUMIKA không chỉ đem đến sự thuận tiện khi b...",https://salt.tikicdn.com/cache/280x280/ts/product/83/a8/6b/956ee960ef88d022d4ea4f29f5975418.jpg,4,0,0
203757099,Ổ Cắm Điện Du Lịch Quốc Tế Đa Năng Tích Hợp 3 Cổng USB-A 1 Cổng USB C. Chất Liệu Nhựa PC Chống Cháy Phù Hợp Với Hơn 150 Nước. Hàng Chính Hãng Tamayoko,281000,MÔ TẢ SẢN PHẨM Ổ Cắm Điện Du Lịch Quốc Tế Đa Năng Tamayoko - Trợ thủ không thể thiếu của bạnTích hợp 3 cổng USB-A và 1 cổng USB type C công suất 15W cho phép sạc nhanh nhiều thiết bị cùng lúcC...,https://salt.tikicdn.com/cache/280x280/ts/product/a7/72/6a/23a78706cf8229b5eb38ce1ba4db31ba.png,4,0,0
